NaN,6406,1342,8184,4547,6880,5818,42768.2040816326,3144,882.4,21632,9892.6,55727,37700,5456,1767,3974.74,2899,2063.48,24294,1088,452.05,679,427,1142,11102,15128,13697.9591836735,4296,5425,5633,15269,1159,2793.34,25012.92
NaN,6155,1254,7765,4366,6994,5725,41154.112244898,3011.5,854.2,20357,9819.33,53080,35345,5154,1650,3659.31,2677,2060.38,22594,1067,434.29,668,397,1059,10657,14959,13045.9183673469,4056,5235,5352,14931,1107,2675.67,23554.01
NaN,5850,1196,7492,4259,6885,5640,39961.7142857143,2889.9,827.9,19152,9762.82,50123,33274.67,4901,1679,3434.6,2456,2049.81,21164,1064,422.89,671,370,976,10238,14706,12596.9387755102,3847,5124,5040,14718,1066,2582.71,22486.58
NaN,5847,1152,7354,4202,6637,5583,39465.4285714286,2815.7,821.2,18310,9842.91,48578,31575.33,4824,1628,3372.17,2331,2037.95,20307,1088,414.06,691,348,929,10018,14662,12402.0408163265,3725,5079,4703,14629,1050,2573.13,22024.31
NaN,5964,1160,7354,4176,6590,5520,38810.6224489796,2827.8,822.5,18054,10030.35,48651,31094.67,4867,1629,3405.3,2233,2033.2,20256,1110,417.26,708,337,893,10017,14879,12343.8775510204,3680,5038,4560,14779,1059,2563.61,21979.18
NaN,6051,1198,7433,4237,6376,5542,37653.0816326531,2900.5,841.8,18234,10066.36,49000,32071.67,4942,1668,3475.9,2211,2030.76,21178,1105,414.92,713,338,885,10231,15056,12390.8163265306,3690,4978,4494,15169,1096,2573.48,22225.54
NaN,6348,1221,7329,4424,6236,5510,38020.1428571429,2981.2,864.4,18596,10271,49431,33081,5148,1655,3534.22,2241,1959.38,21628,1137,425.71,725,345,836,10552,15350,12259.1836734694,3458,4879,4495,15486,1136,2559.06,21866.26
NaN,6688,1332,7378,4665,6288,5502,38855.1224489796,3079.2,868.8,18541,10306.51,48807,34370.67,5644,1696,3657.05,2263,2030.73,21800,1195,426.93,754,375,860,10824,15787,12229.5918367347,3595,4882,4674,15797,1179,2650.07,23116.83
NaN,7143,1447,7535,4796,6419,5968,41167.3265306122,3258.4,910,18942,10384.09,50327,37527.33,6228,1788,3841.11,2293,2039.34,23462,1232,429.8,791,409,922,11119,16117,12766.3265306122,3916,4845,4986,15998,1259,2759.35,25224.17
NaN,7491,1523,7803,4848,6471,6319,43688.1530612245,3504.9,947.1,20484,10624.17,52136,40516.33,6718,1919,4002.47,2465,2050.67,25146,1243,449.21,801,437,983,11659,16598,13335.7142857143,4393,4821,5165,16522,1368,2864.28,27246.86
NaN,7568,1559,8073,4801,6563,6483,46475.5102040816,3650.9,966.8,21805,10753.25,54109,42990,6806,1994,4143.97,2769,2047.1,26545,1231,474.71,803,451,1037,11945,16901,13850,4841,4825,5265,17033,1381,2924.31,28930.04
NaN,7400,1562,8234,4686,6986,6588,47318.6836734694,3716,975.4,22607,10813.41,56527,44878,6453,1975,4222.06,3040,2063.09,27193,1220,488.92,806,448,1043,12038,17124,14233.6734693878,4943,4856,5254,17269,1385,2895.71,28811.35
NaN,7292,1595,8268,4612,6859,6602,46708.7448979592,3727.9,980.2,23178,10907.78,54084,45152.33,5806,1881,4170.52,3284,2053.57,25645,1228,480.68,824,438,1029,12097,17250,14623.4693877551,4655,4948,5227,17439,1340,2944.55,29389.7
NaN,7238,1599,8246,4615,6712,6694,46413.2040816327,3755.5,1008.1,23265,11357.84,52050,45305,5781,1802,4172.16,3340,2091.43,24504,1317,471.59,893,431,1010,12210,17535,14719.387755102,4543,5025,5175,17705,1289,2925.59,29569.92
NaN,7373,1603,8231,4846,6568,6788,47088.5816326531,3840.8,1088.3,22061,11706.91,51485,46254,5853,1782,4226.73,3330,2101.26,24893,1406,466.53,937,432,1013,12304,17948,14930.612244898,4518,5301,5214,18322,1273,2924,29412.29
NaN,7955,1694,8331,5427,6667,6889,49777.1632653061,4183.1,1108.4,21481,11733.98,52178,49747,6228,1925,4508.66,3347,2108.21,26374,1403,478.45,923,459,1096,12758,18207,16279.5918367347,4553,5959,5649,18887,1357,3064.25,30756.57
NaN,8250,1772,8836,5669,6974,6899,53590.5612244898,4493.5,1103.7,21830,11752.42,56838,50931,6824,2145,4627.89,3566,2127.74,30614,1382,515.51,920,484,1143,13806,18054,16668.3673469388,5234,6199,5845,18980,1447,3133.33,32070.12
NaN,8208,1745,8991,5618,7081,6853,54212.3367346939,4424.7,1091.9,24291,11826.09,59125,49151.67,6936,2172,4599.96,3684,2144.76,31606,1353,527.18,910,485,1144,13847,17896,16774.4897959184,5378,6173,5830,18758,1454,3142.7,31460.21
NaN,7849,1721,8903,5453,6977,6819,53065.8571428571,4188.9,1078.5,25234,11622.77,58864,46612.67,6892,2188,4571.26,3548,2156.12,32215,1300,517.7,889,485,1136,13604,17491,16732.6530612245,5529,6065,5864,18307,1477,3150.06,30750.17
NaN,7454,1680,8656,5286,6856,6754,50836.9183673469,3911,1054.4,25881,11294.26,56938,43879.67,6717,2178,4475.64,3392,2141.65,31774,1222,498.26,837,482,1118,13211,17238,16490.8163265306,5480,5901,5742,17812,1435,3121.73,30189.04
NaN,7081,1616,8452,5203,6789,6417,49121.3979591837,3681.7,1009.9,26149,11470.17,54963,40873,6372,2202,4369.66,3255,2135.2,30358,1145,476.83,782,470,1110,12644,16950,15785.7142857143,5332,5646,5648,17214,1369,3067.16,29483.38
